espn_team_id,name,nickname,abbreviation,logo,display_name,short_display_name
485963,Boland Under-15s,Boland Under-15s,BoU15,,Boland Under-15s,BoU15
260633,India Blue,India Blue,IND-B,https://a.espncdn.com/i/teamlogos/cricket/500/260633.png,India Blue,IND-B
2840,Lahore Division,Lahore Division,,,Lahore Division,
3280,North West Under-19s,North West Under-19s,NW19,,North West Under-19s,NW19
1215788,Ponting XI,Ponting XI,PO-XI,,Ponting XI,PO-XI
1156780,Mizoram,Mizoram,MIZO,https://a.espncdn.com/i/teamlogos/cricket/500/1156780.png,Mizoram,MIZO
3267,Northerns B,Northerns B,,,Northerns B,
3673,United Arab Emirates Under-15s,United Arab Emirates Under-15s,,,United Arab Emirates Under-15s,
3359,Western Province B,Western Province B,,,Western Province B,
3056,Rawalpindi B,Rawalpindi B,,,Rawalpindi B,
239,Australia Under-23s Women,Australia Under-23s Women,,,Australia Under-23s Women,
218212,Mali,Mali,Mali,https://a.espncdn.com/i/teamlogos/cricket/500/218212.png,Mali,Mali
3055,Rawalpindi A,Rawalpindi A,,,Rawalpindi A,
502713,New Zealand Masters,New Zealand Masters,,,New Zealand Masters,
594853,Mpumalanga Under-15s,Mpumalanga Under-15s,MpU15,,Mpumalanga Under-15s,MpU15
3195,Combined Western Province-Boland XI,Combined Western Province-Boland XI,,,Combined Western Province-Boland XI,
335974,Chennai Super Kings,Chennai Super Kings,CSK,https://a.espncdn.com/i/teamlogos/cricket/500/335974.png,Chennai Super Kings,CSK
1079856,Indian Colts Under-19s,Indian Colts Under-19s,COu19,,Indian Colts Under-19s,COu19
462443,Devon Under-15s,Devon Under-15s,,,Devon Under-15s,
2980,Pakistan Cricket Board Blues,Pakistan Cricket Board Blues,PCB-B,,Pakistan Cricket Board Blues,PCB-B
