id,position,cricsheet_name,unique_name,batting_style,bowling_style,matchpoints_avg,cost
ce0c22d0,Unknown,Huzaifa Akram,Huzaifa Akram,,,23,7
d6f9dfd6,Unknown,HMD Rasangika,HMD Rasangika,Left-hand bat,Legbreak,17.82716049,7
5d60560f,Wicketkeeper batter,Imran Ali Butt,Imran Ali Butt,Left-hand bat,,8.486486486,7
a9a18e3e,Allrounder,Imran Anwar,Imran Anwar,Right-hand bat,Left-arm medium,16.48739496,7
cc3fb3b3,Unknown,Imran Butt,Imran Butt,Right-hand bat,Right-arm medium,16,7
da3b91fd,Unknown,Imran Khan,Imran Khan (5),Right-hand bat,Right-arm medium,,6
b858d6a7,Unknown,Jabbar Amjad,Jabbar Amjad,Right-hand bat,Right-arm medium,14.38461538,7
41bfb2a9,Unknown,I Suhun,I Suhun,Right-hand bat,Right-arm medium-fast,0,7
92593de0,Unknown,J Chaturanga,J Chaturanga,Right-hand bat,Right-arm medium,19.7826087,7
c39ee9e0,Batting allrounder,Junaid Aziz,Junaid Aziz,Right-hand bat,Legbreak googly,14.81818182,7
a8d0b86f,Unknown,Manal Malik,Manal Malik,Right-hand bat,Right-arm medium,0,7
cd14fffb,Unknown,Mirza Baig,Mirza Baig,Right-hand bat,Right-arm fast-medium,10.95454545,7
b806c09b,Unknown,Mirza Yaqoob,Mirza Yaqoob,Right-hand bat,,21.71428571,7
87ead66e,Unknown,Mohamed Iqbal Noor,Mohamed Iqbal Noor,Right-hand bat,Right-arm medium,14.43478261,7
e6409ae1,Unknown,Mohammed Sameer,Mohammed Sameer,Right-hand bat,Right-arm medium,15.20833333,7
46ff5194,Unknown,Mohammed Younis,Mohammed Younis,,,,8
09c766ec,Unknown,Mohsin Zaki,Mohsin Zaki,Left-hand bat,Slow left-arm orthodox,8.5,7
f208fe04,Unknown,Muhammad Safdar,Muhammad Safdar,Right-hand bat,,10.2,7
732d1f2c,Unknown,Muhammad Rafeh,Muhammad Rafeh,,,8.571428571,7
41eb66fd,Unknown,Muhammad Younis,Muhammad Younis,Left-hand bat,Left-arm medium,0.666666667,7
460fc0ba,Unknown,Muhammad Salman,Muhammad Salman,Right-hand bat,Slow left-arm orthodox,2.666666667,7
e466d85d,Unknown,Nishma Pereira,Nishma Pereira,Right-hand bat,Right-arm offbreak,-2.5,7
bdf6f65d,Unknown,N Thailappan,N Thailappan,Right-hand bat,Slow left-arm orthodox,-3,7
33b48084,Unknown,Numan Yousuf,Numan Yousuf,Right-hand bat,Right-arm medium,9.5,7
50ceaef6,Unknown,P Kurup,P Kurup,Right-hand bat,,10.11764706,7
322855f7,Unknown,Poorvaja Jagdeesha,Poorvaja Jagdeesha,Right-hand bat,,-0.909090909,7
b79932e1,Unknown,Prajna Jagdeesha,Prajna Jagdeesha,Right-hand bat,Right-arm medium-fast,2.523809524,7
c702bc6e,Unknown,Rashid Hussain,Rashid Hussain,,,14.75,7
0dda36e7,Unknown,P Shetty,P Shetty,Right-hand bat,Right-arm medium-fast,10.38095238,7
e741ed8f,Bowler,Rizwan Butt,Rizwan Butt,Right-hand bat,Right-arm medium,26.53012048,7
202867f8,Unknown,R Hathadurage,R Hathadurage,Right-hand bat,,1.7,7
fe676043,Unknown,R Rodrigo,R Rodrigo,Right-hand bat,Slow left-arm orthodox,3,7
b76b2d25,Unknown,Sachin Kumar,Sachin Kumar,Right-hand bat,Right-arm offbreak,16.33333333,7
656da404,Unknown,Sameer Minhas,Sameer Minhas,,,1.5,7
0f49b970,Unknown,Sana Butt,Sana Butt,Right-hand bat,,2.5,7
89df3901,Unknown,Sadamali Bhakshala,Sadamali Bhakshala,Right-hand bat,Right-arm offbreak,10.05263158,7
db95ddeb,Allrounder,Sarfaraz Ali,Sarfaraz Ali,Right-hand bat,Right-arm medium,15.76811594,7
23eedcd3,Top-order batter,Shahbaz Badar,Shahbaz Badar,Right-hand bat,,11.7826087,7
37753749,Unknown,Shahid Mahmood,Shahid Mahmood,Right-hand bat,Right-arm medium,12.81481481,7
296d4d0f,Batter,A Wickramasinghe,A Wickramasinghe,Right-hand bat,,8,7
aa76333b,Unknown,Sikder Billah,Sikder Billah,Right-hand bat,Right-arm medium,11.45833333,7
24903af6,Unknown,S Nunna,S Nunna,Right-hand bat,Right-arm offbreak,4.666666667,7
4db71b2e,Middle-order batter,Sohail Ahmed,Sohail Ahmed,Right-hand bat,,6.357142857,7
4b2c06eb,Unknown,S Prakash,S Prakash,Right-hand bat,Right-arm medium-fast,-0.736842105,7
1e569fb0,Allrounder,S Veerapathiran,S Veerapathiran,Right-hand bat,Right-arm medium,17.79220779,7
d577d45a,Unknown,TI Gajanayake,TI Gajanayake,Left-hand bat,Right-arm bowler,15.61363636,7
5cbeb83d,Unknown,Tahir Dar,Tahir Dar,Left-hand bat,Slow left-arm orthodox,50.41176471,8
87493f1d,Unknown,Ubaid Minhas,Ubaid Minhas,Right-hand bat,,1.571428571,7
7b729851,Opening batter,Umer Imtiaz,Umer Imtiaz,Right-hand bat,,6.303030303,7
8e574c74,Unknown,V Barboza,V Barboza,Right-hand bat,Right-arm medium-fast,6.222222222,7
a7d6c101,Unknown,Waseeq Ahmed,Waseeq Ahmed,Left-hand bat,Slow left-arm orthodox,14.94117647,7
bbd5af55,Unknown,Yaser Sadeq,Yaser Sadeq,Right-hand bat,Right-arm medium,12.77777778,7
ccceaca9,Unknown,Yasser Nazir,Yasser Nazir,Right-hand bat,,4.526315789,7
ed27d267,Unknown,Yousif Wali,Yousif Wali,Left-hand bat,Slow left-arm orthodox,0,7
328cca93,Unknown,Zeeshan Abbas,Zeeshan Abbas,Right-hand bat,Slow left-arm orthodox,11.42105263,7
705a05c8,Unknown,Abdul Halim,Abdul Halim,Right-hand bat,Right-arm medium,,6
26ccdb37,Unknown,Abdullah Al Mamun,Abdullah Al Mamun,Right-hand bat,Right-arm medium-fast,5.166666667,7
ea36b0ee,Allrounder,Abdullah Al Mamun,Abdullah Al Mamun (2),Left-hand bat,Right-arm medium,,6
61a1cead,Unknown,Abdul Mazid,Abdul Mazid,Right-hand bat,Right-arm offbreak,7.739130435,7
888e32bf,Bowler,Abdur Razzak,Abdur Razzak,Left-hand bat,Slow left-arm orthodox,22.5030303,7
31803fac,Bowler,Abu Hider,Abu Hider,Right-hand bat,Left-arm fast-medium,14.4566474,7
1bb0993e,Bowler,Abu Jayed,Abu Jayed,Right-hand bat,Right-arm fast-medium,23.40372671,7
5c756df3,Bowler,Abul Hasan,Abul Hasan,Left-hand bat,Right-arm medium-fast,15.17424242,7
37138918,Allrounder,Afif Hossain,Afif Hossain,Left-hand bat,Right-arm offbreak,10.56122449,7
b786b38f,Unknown,AFM Akhtaruddin,AFM Akhtaruddin,,,,7
53bc7b84,Opening batter,Aftab Ahmed,Aftab Ahmed,Right-hand bat,Right-arm medium,13.27659574,7
abae26ad,Batter,Akbar Ali,Mohammad Akbar Ali,Right-hand bat,,,7
fbc5b9e2,Middle-order batter,Akram Khan,Akram Khan,Right-hand bat,Right-arm medium,16.5,7
2.99E+75,Unknown,Akhtar Ahmad,Akhtar Ahmad,Right-hand bat,Right-arm offbreak,,7
88256fe1,Unknown,Aks Swadhin,Aks Swadhin,Right-hand bat,Right-arm fast-medium,11.625,7
a6c37940,Unknown,Akteruzzaman,Akteruzzaman,,,,8
3f5f39cd,Bowler,Al-Amin Hossain,Al-Amin Hossain,Right-hand bat,Right-arm medium-fast,19.14685315,7
3.53E+12,Unknown,Alamgir Kabir,Alamgir Kabir,Right-hand bat,Right-arm medium-fast,,7
ec72efc5,Unknown,Al-Amin,Al-Amin,Right-hand bat,Right-arm offbreak,7.366666667,7
721032ec,Unknown,Alauddin Babu,Alauddin Babu,Right-hand bat,Right-arm medium-fast,9.535714286,7
1342d8d8,Unknown,Ali Arman,Ali Arman,Right-hand bat,Right-arm offbreak,,8
45d38a84,Bowler,Al Islam,Al Islam,Right-hand bat,Right-arm offbreak,19.31034483,7
5.43E+27,Allrounder,Alok Kapali,Alok Kapali,Right-hand bat,Legbreak,12.0070922,7
fdd414ab,Top-order batter,Al Sahariar,Al Sahariar,Right-hand bat,Legbreak,6.266666667,7
8f82bd30,Middle-order batter,Aminul Islam,Aminul Islam,Right-hand bat,Right-arm offbreak,10.25,7
f8ce577b,Allrounder,Aminul Islam,Aminul Islam Biplob,Right-hand bat,Legbreak googly,19.70588235,7
e3e9f70a,Unknown,Amit Kumar,Amit Kumar,Left-hand bat,Slow left-arm orthodox,3.857142857,7
7e8ffb67,Top-order batter,A Mpeka,A Mpeka,Left-hand bat,,15.14285714,7
72b245dd,Wicketkeeper batter,Anamul Haque,Anamul Haque,Right-hand bat,,14.74132492,7
9fd99cbf,Unknown,Anamul Haque,Anamul Haque (2),Right-hand bat,Right-arm medium,,7
affbf093,Bowler,Anisur Rahman,Anisur Rahman,,Left-arm medium-fast,,8
